player,age,current_club,current_league,foot,height,nationality,position,games12,games13,games14,games15,games16,games17,goals12,goals13,goals14,goals15,goals16,goals17,minutes12,minutes13,minutes14,minutes15,minutes16,minutes17,assists12,assists13,assists14,assists15,assists16,assists17
Baptiste Guillaume,22,SCO Angers,FRA - Ligue 1,right,189,Belgium,CF,7,,29,12,35,16,1,,2,0,9,2,70,,1587,612,2430,597,0,,1,0,5,2
Goran Karanovic,30,SCO Angers,FRA - Ligue 1,right,185,Switzerland  Serbia,CF,34,45,28,13,12,,9,17,10,1,3,,2144,2958,1002,395,413,,0,4,1,0,3,
Férébory Doré,29,SCO Angers,FRA - Ligue 1,right,193,Congo,CF,37,38,18,9,12,18,4,13,4,0,0,3,2506,2530,1280,618,348,512,6,5,1,0,0,1
Martin Terrier,21,RC Strasbourg Alsace,FRA - Ligue 1,right,184,France,W,,,,,15,26,,,,,2,4,,,,,533,1765,,,,,0,4
Idriss Saadi,26,RC Strasbourg Alsace,FRA - Ligue 1,right,180,Algeria  France,CF,33,20,23,3,39,23,7,7,12,1,16,3,2466,1721,1944,111,2882,1043,1,0,2,0,2,0
Nuno Da Costa,27,RC Strasbourg Alsace,FRA - Ligue 1,right,182,Cape Verde  France,CF,,1,,24,23,27,,1,,10,9,6,,120,,1476,1694,1922,,0,,0,3,3
Stéphane Bahoken,25,RC Strasbourg Alsace,FRA - Ligue 1,right,185,France  Cameroon,CF,11,5,1,30,34,23,2,0,0,6,7,7,273,193,68,1644,1737,1346,0,0,0,1,4,0
Jérémy Blayac,34,RC Strasbourg Alsace,FRA - Ligue 1,right,187,France,CF,22,34,14,31,32,22,6,8,1,7,8,4,1813,1446,572,2541,1457,894,1,1,0,1,4,1
Hyun-Jun Suk,26,ES Troyes AC,FRA - Ligue 1,right,191,Korea South,CF,33,15,40,34,30,19,6,2,10,13,2,5,2179,983,2666,2392,1539,1029,0,1,0,9,5,1
Adama Niane,24,ES Troyes AC,FRA - Ligue 1,right,183,Mali,CF,2,,3,,36,26,0,,0,,23,6,43,,64,,2640,1695,0,,1,,5,2
Jonathan Tinhan,28,ES Troyes AC,FRA - Ligue 1,right,177,Benin  France,CF,19,4,1,13,34,9,2,0,0,4,8,0,862,122,90,997,1659,276,2,0,0,0,2,0
Raphaël Cacérès,30,ES Troyes AC,FRA - Ligue 1,right,187,France,CF,33,51,26,24,17,1,12,6,4,7,1,0,2342,2285,1684,1166,712,44,1,4,1,3,0,0
Mamadou Sissako,21,ES Troyes AC,FRA - Ligue 1,right,171,France  Mauritania,CF,,0,,1,0,1,,0,,0,0,0,,0,,90,0,70,,0,,0,0,0
Mathieu Dossevi,30,FC Metz,FRA - Ligue 1,right,172,Togo  France,W,38,33,34,34,28,28,4,6,5,7,1,2,2766,2179,2294,2695,2158,2257,6,5,3,15,6,11
Opa Nguette,23,FC Metz,FRA - Ligue 1,right,181,Senegal  France,W,21,10,26,14,37,18,3,0,5,1,3,0,1099,616,1501,752,2504,1116,1,0,2,1,3,0
Ablie Jallow,19,FC Metz,FRA - Ligue 1,,166,The Gambia,W,,,2,,,2,,,1,,,0,,,171,,,131,,,0,,,0
Nolan Roux,30,FC Metz,FRA - Ligue 1,right,182,France,CF,44,33,43,44,33,31,11,10,10,11,5,12,2568,2453,2832,3149,1894,2459,4,7,3,8,1,1
Ibrahima Niane,19,FC Metz,FRA - Ligue 1,,187,Senegal,CF,,,,,,27,,,,,,5,,,,,,1075,,,,,,1
Emmanuel Rivière,28,FC Metz,FRA - Ligue 1,right,182,France  Martinique,CF,35,36,28,3,17,22,9,13,3,0,0,5,1441,2158,1553,63,895,1421,3,2,1,0,1,2
Stiven Mendoza,25,SC Amiens,FRA - Ligue 1,,172,Colombia,W,15,13,32,25,31,9,4,5,14,5,8,1,570,770,1910,1223,2413,761,2,2,3,0,3,0
Moussa Konaté,24,SC Amiens,FRA - Ligue 1,right,183,Senegal,CF,11,26,33,39,39,32,1,1,22,14,14,11,183,1337,2652,3135,2872,2290,0,3,6,9,6,1
Lacina Traoré,27,SC Amiens,FRA - Ligue 1,right,203,Cote d'Ivoire,CF,38,9,8,27,29,15,17,2,1,10,8,0,2515,483,333,1353,1844,653,8,1,1,2,1,2
Quentin Cornette,24,SC Amiens,FRA - Ligue 1,right,172,France,CF,,,0,6,4,7,,,0,0,0,1,,,0,235,172,189,,,0,1,0,0
Bachibou Koita,23,SC Amiens,FRA - Ligue 1,right,180,Niger,CF,,,5,,2,8,,,0,,1,1,,,107,,77,390,,,0,,0,0
Douglas Costa,27,Juventus FC,ITA - Serie A,left,172,Brazil,W,36,39,33,43,34,33,7,7,5,7,7,3,1575,3043,2181,3408,1925,2006,3,14,7,18,9,6
Federico Bernardeschi,24,Juventus FC,ITA - Serie A,left,183,Italy,W,27,40,12,41,42,26,21,14,3,6,14,5,2331,2627,473,2834,2851,988,0,7,2,6,5,7
Juan Cuadrado,29,Juventus FC,ITA - Serie A,right,179,Colombia,W,40,43,37,41,45,20,5,15,6,5,3,4,3239,3435,2147,2465,2907,1405,7,11,4,8,10,5
Gonzalo Higuaín,30,Juventus FC,ITA - Serie A,right,184,Argentina  France,CF,44,46,58,42,55,37,18,24,29,38,32,21,2500,3504,4192,3287,4486,2919,9,12,11,3,4,5
Mario Mandzukic,31,Juventus FC,ITA - Serie A,right,190,Croatia,CF,40,48,43,36,50,32,22,26,20,13,11,7,2857,3314,3078,2678,3879,2494,4,10,5,6,8,3
Lorenzo Insigne,26,SSC Napoli,ITA - Serie A,right,163,Italy,W,43,51,28,42,49,38,5,9,2,13,20,13,2130,3286,1426,2856,3767,2980,9,11,6,11,12,11
Adam Ounas,21,SSC Napoli,ITA - Serie A,left,172,Algeria  France,W,,,,30,30,12,,,,6,4,1,,,,1701,1462,332,,,,3,3,1
Leandrinho,19,SSC Napoli,ITA - Serie A,right,174,Brazil,W,,,9,,11,4,,,1,,6,1,,,229,,779,269,,,0,,3,1
José Callejón,31,SSC Napoli,ITA - Serie A,right,178,Spain,W,41,52,59,47,49,40,7,20,12,13,17,10,2036,4055,4329,3389,4146,3300,6,11,7,13,17,10
Dries Mertens,30,SSC Napoli,ITA - Serie A,right,169,Belgium,CF,39,47,51,40,46,39,18,13,10,11,34,21,3220,2600,3058,1682,3215,3193,21,12,12,7,15,12
Arkadiusz Milik,24,SSC Napoli,ITA - Serie A,left,186,Poland,CF,27,21,35,42,23,7,13,2,23,24,8,2,1607,749,2292,3275,872,213,5,0,10,12,1,0
Ivan Perisic,29,Inter Milan,ITA - Serie A,both,187,Croatia,W,34,38,35,41,42,28,5,11,7,10,11,7,1400,2586,2380,2915,3042,2500,2,7,9,6,12,6
Antonio Candreva,31,Inter Milan,ITA - Serie A,right,181,Italy,W,49,44,38,44,45,27,7,12,11,12,8,0,3697,3471,2968,3141,3514,2083,13,10,15,5,11,8
Yann Karamoh,19,Inter Milan,ITA - Serie A,right,185,France  Cote d'Ivoire,W,,,,,36,10,,,,,5,1,,,,,2263,411,,,,,4,0
Mauro Icardi,25,Inter Milan,ITA - Serie A,right,181,Argentina  Italy,CF,31,23,48,34,41,25,10,9,27,16,26,18,2118,1393,3875,2636,3426,2194,4,2,9,4,7,1
Andrea Pinamonti,18,Inter Milan,ITA - Serie A,right,185,Italy,CF,,,4,33,31,11,,,0,17,19,7,,,251,1847,2422,853,,,0,0,1,3
Diego Perotti,29,AS Roma,ITA - Serie A,right,179,Argentina  Spain,W,20,20,28,34,45,29,1,5,4,4,10,7,965,986,2393,2539,2362,1975,1,2,6,9,10,3
Stephan El Shaarawy,25,AS Roma,ITA - Serie A,right,178,Italy  Egypt,W,46,11,19,42,44,31,19,1,3,11,12,7,3506,502,1286,2447,2325,1893,8,0,3,3,10,7
Cengiz Ünder,20,AS Roma,ITA - Serie A,left,173,Turkey,W,,,26,32,43,22,,,5,6,9,6,,,1744,2463,3292,1080,,,5,4,7,1
Gerson,20,AS Roma,ITA - Serie A,left,184,Brazil,W,,0,29,2,12,23,,0,1,0,1,2,,0,1867,72,491,828,,0,4,0,1,0
Edin Dzeko,31,AS Roma,ITA - Serie A,both,192,Bosnia-Herzegovina,CF,45,48,32,39,51,35,15,26,6,10,39,16,2505,3241,1556,2555,4038,2920,7,16,4,6,15,5
Patrik Schick,22,AS Roma,ITA - Serie A,left,190,Czech Republic,CF,,2,3,28,35,14,,0,0,7,13,1,,15,31,2015,1653,636,,0,0,1,5,0
Grégoire Defrel,26,AS Roma,ITA - Serie A,left,179,France  Martinique,CF,30,44,36,35,38,17,3,4,9,7,16,1,1760,3117,2826,2099,2591,571,3,5,6,6,5,0
Fabio Borini,26,AC Milan,ITA - Serie A,right,180,Italy,W,20,41,18,27,26,35,2,12,1,5,2,4,955,2690,672,1988,1911,2056,1,5,2,2,0,7
Suso,24,AC Milan,ITA - Serie A,left,177,Spain,W,28,35,7,21,37,38,2,3,1,6,7,8,1634,2433,255,1296,3120,2941,4,9,1,2,11,12
Nnamdi Oduamadi,27,AC Milan,ITA - Serie A,right,175,Nigeria,W,16,28,29,30,4,1,2,5,3,7,0,0,1178,1539,1866,2463,283,84,3,3,2,6,0,1
André Silva,22,AC Milan,ITA - Serie A,right,184,Portugal,CF,,26,35,43,44,32,,7,7,17,21,9,,1012,2410,3346,3399,1691,,0,2,6,8,2
Nikola Kalinic,30,AC Milan,ITA - Serie A,both,187,Croatia,CF,29,23,48,46,42,29,10,7,19,16,20,4,1668,1027,2613,3214,3196,1745,3,2,2,7,4,6
Patrick Cutrone,20,AC Milan,ITA - Serie A,right,183,Italy,CF,,1,21,25,25,35,,0,12,14,21,14,,30,1462,2130,2130,1995,,0,0,3,3,4
Nani,31,SS Lazio,ITA - Serie A,both,177,Portugal  Cape Verde,W,21,13,38,47,26,19,3,1,12,12,5,3,1337,740,3264,3732,1930,545,6,0,8,13,8,2
Pedro Neto,18,SS Lazio,ITA - Serie A,left,172,Portugal,W,,,,,3,4,,,,,1,0,,,,,80,277,,,,,0,1
Ciro Immobile,28,SS Lazio,ITA - Serie A,right,185,Italy,CF,34,34,34,29,41,36,5,23,10,9,26,34,2064,2679,1671,1673,3517,2882,3,3,3,5,6,10
Felipe Caicedo,29,SS Lazio,ITA - Serie A,left,183,Ecuador  Spain,CF,24,21,40,34,29,24,6,2,12,10,2,4,1234,982,2102,2360,1342,981,1,1,2,0,2,3
Filip Djordjevic,30,SS Lazio,ITA - Serie A,left,186,Serbia,CF,37,29,27,32,18,0,23,12,9,6,1,0,3121,2457,1661,1498,511,0,3,4,3,2,0,0
Brayan Perea,25,SS Lazio,ITA - Serie A,right,190,Colombia,CF,16,27,23,13,14,,5,5,1,1,0,,1139,1296,673,605,230,,2,4,0,0,0,
Rafik Zekhnini,20,ACF Fiorentina,ITA - Serie A,right,179,Norway  Morocco,W,,,13,28,17,6,,,3,5,1,0,,,650,2011,1075,367,,,3,7,2,0
Federico Chiesa,20,ACF Fiorentina,ITA - Serie A,right,175,Italy,W,,,9,29,36,28,,,2,8,5,5,,,380,2396,2166,2337,,,0,3,4,5
Gil Dias,21,ACF Fiorentina,ITA - Serie A,left,183,Portugal,W,,,2,15,39,23,,,0,6,8,2,,,17,1253,2972,1015,,,0,1,7,2
Giovanni Simeone,22,ACF Fiorentina,ITA - Serie A,right,179,Argentina  Spain,CF,0,20,28,16,36,30,0,4,7,5,13,8,0,807,1673,1281,2736,2423,0,2,1,0,2,4
Diego Falcinelli,26,ACF Fiorentina,ITA - Serie A,left,186,Italy,CF,41,35,42,27,40,27,5,4,15,3,13,3,3025,2625,3037,1231,3211,1675,6,2,3,2,4,0
Cyril Théréau,34,ACF Fiorentina,ITA - Serie A,right,189,France,CF,38,34,40,37,33,22,13,8,13,12,12,7,3103,2497,2685,2995,2500,1359,6,1,1,3,2,4
Andrea Petagna,22,Atalanta BC,ITA - Serie A,left,190,Italy,CF,32,19,27,32,36,33,15,6,1,7,5,5,2473,1157,946,2001,2739,1758,0,3,3,0,9,6
Andreas Cornelius,24,Atalanta BC,ITA - Serie A,left,193,Denmark,CF,44,27,33,32,49,26,20,6,8,6,21,6,3415,1681,2795,1837,3426,1070,6,0,1,2,9,1
Álex Berenguer,22,Torino FC,ITA - Serie A,right,175,Spain,W,,,14,39,31,21,,,0,3,2,2,,,498,1848,2251,1048,,,0,4,7,3
Iago Falque,28,Torino FC,ITA - Serie A,left,174,Spain,W,35,33,33,27,35,30,8,6,13,3,12,11,2610,2373,2437,1501,2532,2406,11,4,6,2,8,8
Simone Edera,21,Torino FC,ITA - Serie A,left,174,Italy,W,,,29,34,16,10,,,5,13,1,2,,,1739,2203,494,205,,,0,7,0,0
Andrea Belotti,24,Torino FC,ITA - Serie A,right,181,Italy,CF,30,25,39,37,38,24,12,10,6,12,28,8,2637,1307,1381,2749,3297,2024,0,4,2,6,8,3
M'Baye Niang,23,Torino FC,ITA - Serie A,right,184,Senegal  France,CF,25,31,19,21,34,27,1,5,5,8,5,4,1092,1780,1051,1411,2377,1810,1,3,3,5,5,3
DuvAAn Zapata,26,UC Sampdoria,ITA - Serie A,right,189,Colombia,CF,31,24,31,27,39,24,13,8,8,8,11,9,2407,890,1136,1573,3244,1677,1,2,3,4,5,5
Dawid Kownacki,20,UC Sampdoria,ITA - Serie A,right,186,Poland,CF,,13,38,34,33,17,,2,7,7,12,6,,303,2235,1798,1654,423,,4,3,1,3,3
Fabio Quagliarella,35,UC Sampdoria,ITA - Serie A,right,182,Italy,CF,35,23,46,34,38,27,13,4,17,8,12,17,1551,722,3468,2693,2975,2223,5,2,4,3,4,5
Antonino Ragusa,27,US Sassuolo,ITA - Serie A,right,183,Italy,W,36,42,20,41,33,24,1,10,4,9,5,0,2582,3546,1285,3041,1952,778,5,6,3,8,5,2
Nicholas Pierini,19,US Sassuolo,ITA - Serie A,right,176,Italy,W,,,25,30,23,11,,,10,21,12,2,,,939,2343,1903,722,,,0,5,5,1
Domenico Berardi,23,US Sassuolo,ITA - Serie A,left,183,Italy,W,39,33,35,32,25,23,11,17,15,8,10,3,2428,2498,2852,2451,2042,1735,6,6,13,8,11,2
Matteo Politano,24,US Sassuolo,ITA - Serie A,left,171,Italy,W,33,32,49,29,42,28,8,6,6,5,8,4,2627,1840,3674,1071,2878,2127,0,3,7,2,8,3
Khouma Babacar,24,US Sassuolo,ITA - Serie A,right,185,Senegal,CF,17,42,28,24,31,23,2,20,9,7,14,7,850,3348,1365,1199,1764,1001,0,8,2,1,3,2
Alessandro Matri,33,US Sassuolo,ITA - Serie A,right,183,Italy,CF,35,39,26,31,37,23,10,6,9,7,8,3,1785,2090,1507,1488,1800,982,2,1,7,3,0,1
Rodrigo de Paul,23,Udinese Calcio,ITA - Serie A,right,180,Argentina  Italy,W,21,35,29,29,35,29,1,4,2,1,4,4,1589,2637,1009,1491,2447,1879,2,4,4,1,4,7
Svante Ingelsson,19,Udinese Calcio,ITA - Serie A,left,189,Sweden,W,,14,29,27,18,4,,5,13,4,1,1,,649,1942,1482,1055,114,,0,1,1,1,1
Kevin Lasagna,25,Udinese Calcio,ITA - Serie A,left,181,Italy,CF,,,30,39,47,24,,,5,5,14,9,,,1167,1639,3468,1741,,,3,4,5,6
Stipe Perica,22,Udinese Calcio,ITA - Serie A,right,192,Croatia,CF,20,28,22,13,27,14,8,6,6,3,6,1,1334,1117,1280,642,1065,608,1,1,1,0,1,1
Rodrigo Aguirre,23,Udinese Calcio,ITA - Serie A,left,186,Uruguay,CF,20,26,10,29,43,,8,8,1,3,15,,1503,2301,282,1696,3072,,0,3,0,2,8,
Maxi López,33,Udinese Calcio,ITA - Serie A,right,185,Argentina  Italy,CF,18,24,37,29,18,23,5,2,12,6,3,6,960,1250,1967,1296,564,1514,2,2,3,3,0,2
Iuri Medeiros,23,Genoa CFC,ITA - Serie A,left,174,Portugal,W,10,39,36,34,30,14,0,10,5,10,8,1,444,2777,2418,2513,2564,493,1,2,8,13,9,1
Gianluca Lapadula,28,Genoa CFC,ITA - Serie A,left,178,Italy  Peru,CF,17,31,41,46,29,20,1,13,24,30,8,2,865,2271,3444,4044,1362,786,2,3,9,12,4,0
Giuseppe Rossi,31,Genoa CFC,ITA - Serie A,left,173,Italy  United States,CF,1,24,,33,30,2,0,17,,8,6,0,26,1686,,1872,1316,33,0,5,,5,1,0
Andrej Galabinov,29,Genoa CFC,ITA - Serie A,right,190,Bulgaria,CF,25,43,30,40,37,18,14,16,7,13,13,3,1916,2989,1466,2245,3095,1054,0,4,2,5,10,2
Eddy Salcedo,16,Genoa CFC,ITA - Serie A,right,188,Italy  Colombia,CF,,,,,5,21,,,,,1,4,,,,,179,1541,,,,,0,1
Ladislav Krejcí,25,Bologna FC 1909,ITA - Serie A,left,178,Czech Republic,W,34,26,37,44,38,9,6,8,7,8,2,0,2555,2121,2985,3675,2878,376,8,6,6,9,8,1
Simone Verdi,25,Bologna FC 1909,ITA - Serie A,both,174,Italy,W,26,42,28,21,29,25,0,6,3,4,6,6,1494,2584,1564,874,2214,1971,4,7,3,1,5,7
Riccardo Orsolini,21,Bologna FC 1909,ITA - Serie A,left,183,Italy,W,,,,35,42,13,,,,22,8,0,,,,3036,2893,336,,,,10,6,2
Federico Di Francesco,23,Bologna FC 1909,ITA - Serie A,right,171,Italy,W,31,14,29,38,27,20,4,0,5,8,5,1,2553,802,1496,2877,1306,1456,0,0,4,5,4,2
Mattia Destro,26,Bologna FC 1909,ITA - Serie A,right,182,Italy,CF,26,24,34,27,33,24,11,15,8,8,11,6,1537,1515,1892,2135,2728,1504,3,2,0,2,2,4
Felipe Avenatti,24,Bologna FC 1909,ITA - Serie A,left,196,Uruguay  Spain,CF,29,25,39,37,40,8,11,2,13,6,12,2,2245,832,3198,2129,2771,425,3,3,5,4,3,0
Rodrigo Palacio,36,Bologna FC 1909,ITA - Serie A,right,176,Argentina  Spain,CF,39,39,41,30,20,19,22,19,12,3,2,4,2889,3270,3104,1524,767,1423,8,7,9,4,3,2
Leonardo Pavoletti,29,Cagliari Calcio,ITA - Serie A,right,188,Italy,CF,35,42,22,26,20,23,11,25,7,15,4,7,2026,3392,835,2036,961,1842,3,6,4,3,0,1
Marco Sau,30,Cagliari Calcio,ITA - Serie A,right,169,Italy,CF,30,31,30,31,35,20,12,6,9,11,8,2,1963,2134,1912,2206,2431,814,4,2,4,7,4,0
Kwang-Song Han,19,Cagliari Calcio,ITA - Serie A,both,178,Korea North,CF,,,,,8,22,,,,,2,7,,,,,303,1410,,,,,0,4
Niccolò Giannetti,26,Cagliari Calcio,ITA - Serie A,right,181,Italy,CF,21,33,29,33,22,8,5,13,7,9,1,0,1298,2697,1467,1893,810,272,3,2,2,8,0,0
Damir Ceter,20,Cagliari Calcio,ITA - Serie A,right,188,Colombia,CF,,,,,5,2,,,,,1,0,,,,,188,156,,,,,0,0
Emanuele Giaccherini,32,Chievo Verona,ITA - Serie A,right,167,Italy,W,25,32,11,28,19,9,3,5,0,7,2,1,1273,1967,477,2185,386,304,4,4,1,1,0,1
Emanuel Vignato,17,Chievo Verona,ITA - Serie A,right,175,Italy  Brazil,W,,,,22,23,17,,,,15,6,5,,,,1620,1640,1446,,,,0,2,2
Roberto Inglese,26,Chievo Verona,ITA - Serie A,right,186,Italy,CF,32,22,27,26,37,25,13,2,6,3,12,9,2653,654,1004,1377,2220,2005,0,2,2,3,4,2
Mariusz Stepinski,22,Chievo Verona,ITA - Serie A,right,183,Poland,CF,26,22,27,36,31,14,5,6,2,15,10,1,1280,1263,919,2790,1879,351,4,3,4,3,4,0
Sergio Pellissier,38,Chievo Verona,ITA - Serie A,right,175,Italy,CF,25,23,28,20,31,18,6,1,7,5,10,2,1384,844,1147,1069,1738,626,0,0,1,0,2,1
Alberto Paloschi,28,SPAL 2013,ITA - Serie A,right,183,Italy,CF,20,37,38,32,14,27,7,15,9,10,0,6,1287,2658,2691,2461,499,1596,0,3,3,1,0,1
Federico Bonazzoli,20,SPAL 2013,ITA - Serie A,left,182,Italy,CF,,25,19,24,26,9,,13,14,1,2,0,,1531,1263,693,1450,166,,0,0,0,2,0
Mirco Antenucci,33,SPAL 2013,ITA - Serie A,right,180,Italy,CF,34,41,38,43,39,23,6,19,10,9,20,8,2505,3673,2485,2564,3263,1745,3,2,3,6,7,5
Marco Borriello,35,SPAL 2013,ITA - Serie A,left,186,Italy,CF,28,12,9,29,37,16,12,1,0,9,20,1,2333,589,333,1727,2685,857,1,1,2,4,1,0
Sergio Floccari,36,SPAL 2013,ITA - Serie A,right,180,Italy  San Marino,CF,36,36,29,25,21,16,10,5,2,6,7,3,2057,1738,1096,1552,1390,903,7,1,0,1,0,1
Seung-Woo Lee,20,Hellas Verona,ITA - Serie A,right,173,Korea South,W,,,,3,7,10,,,,1,1,0,,,,193,417,291,,,,0,2,0
Rolando Aarons,22,Hellas Verona,ITA - Serie A,left,177,England  Jamaica,W,13,13,7,11,5,13,2,3,2,1,0,2,787,913,278,465,100,677,0,1,1,1,0,1
Daniele Verde,21,Hellas Verona,ITA - Serie A,left,168,Italy,W,7,15,33,16,33,27,1,2,14,3,8,4,145,408,2210,516,1953,1843,0,0,4,1,5,3
Alessio Cerci,30,Hellas Verona,ITA - Serie A,left,180,Italy,W,35,38,27,26,2,15,8,13,2,4,0,2,2740,3042,1085,1384,43,994,12,11,7,2,0,4
Enrico Bearzotti,21,Hellas Verona,ITA - Serie A,right,180,Italy,W,,3,34,16,33,4,,0,6,0,5,1,,177,2609,691,2025,390,,0,0,0,3,0
Moise Kean,18,Hellas Verona,ITA - Serie A,right,183,Italy  Cote d'Ivoire,CF,,,11,30,24,20,,,5,25,14,4,,,379,1940,1480,1221,,,0,0,5,0
Bruno Petkovic,23,Hellas Verona,ITA - Serie A,right,193,Croatia,CF,12,12,27,34,29,17,3,3,5,8,3,0,970,899,1101,2088,1652,865,0,0,1,8,0,2
Marco D'Alessandro,27,Benevento Calcio,ITA - Serie A,right,173,Italy,W,34,44,27,25,27,16,3,3,0,3,1,1,2310,3213,1019,1336,1006,1123,10,5,1,3,1,1
Guilherme,26,Benevento Calcio,ITA - Serie A,left,174,Brazil,W,27,2,30,55,41,28,4,0,1,8,7,6,2072,164,2157,3830,2955,2065,7,0,2,11,8,2
Vittorio Parigini,21,Benevento Calcio,ITA - Serie A,right,180,Italy,W,20,14,33,19,20,14,6,0,5,4,1,0,988,589,1586,1089,698,502,0,1,5,1,1,0
Cristiano Lombardi,22,Benevento Calcio,ITA - Serie A,right,180,Italy,W,21,29,13,26,19,15,8,14,0,4,1,0,1421,2374,336,1387,485,973,0,2,1,2,0,1
Pietro Iemmello,26,Benevento Calcio,ITA - Serie A,right,180,Italy,CF,30,18,35,42,20,8,5,2,16,37,6,1,1462,840,3040,3518,692,503,1,2,3,6,0,1
Massimo Coda,29,Benevento Calcio,ITA - Serie A,right,184,Italy,CF,32,36,18,43,42,20,10,18,2,17,16,3,2371,3106,861,3182,3752,1283,0,6,4,2,8,2
Cheick Diabaté,29,Benevento Calcio,ITA - Serie A,right,194,Mali,CF,35,28,17,28,30,3,18,12,9,13,14,1,2189,1903,1218,1880,1742,34,3,1,2,5,2,0
Adrian Stoian,27,FC Crotone,ITA - Serie A,both,178,Romania,W,21,15,27,34,28,25,3,0,1,5,3,2,840,521,1673,1920,1615,1686,1,2,4,6,3,3
Federico Ricci,23,FC Crotone,ITA - Serie A,left,175,Italy,W,23,13,22,38,31,13,3,4,1,11,2,1,1476,790,809,2947,1389,828,0,0,1,8,0,2
Andrea Nalini,27,FC Crotone,ITA - Serie A,right,180,Italy,W,,1,27,11,18,17,,0,3,0,2,0,,76,2027,677,814,1262,,0,11,1,2,2
Moussa Diaby,18,FC Crotone,ITA - Serie A,left,170,France,W,,,,,7,7,,,,,3,2,,,,,508,614,,,,,1,5
Marcello Trotta,25,FC Crotone,ITA - Serie A,left,188,Italy,CF,36,41,32,29,31,24,12,14,12,11,3,5,2338,2547,2274,1811,1907,1536,6,3,4,5,5,3
Ante Budimir,26,FC Crotone,ITA - Serie A,left,190,Croatia,CF,31,27,25,41,14,24,10,14,7,17,1,7,2708,1848,1513,3322,479,1752,7,5,4,4,0,0
Marco Tumminello,19,FC Crotone,ITA - Serie A,left,180,Italy,CF,,,6,30,32,5,,,5,12,30,1,,,357,1779,2740,130,,,0,2,4,0
Simy,25,FC Crotone,ITA - Serie A,right,198,Nigeria,CF,37,21,36,46,22,14,13,0,11,20,4,1,2432,813,2613,3427,606,403,0,0,3,5,0,1
Henry Onyekuru,20,RSC Anderlecht,BEL - Jupiler Pro League,both,175,Nigeria,W,,,,19,41,28,,,,6,24,10,,,,857,3640,1994,,,,2,9,0
Francis Amuzu,18,RSC Anderlecht,BEL - Jupiler Pro League,both,170,Belgium  Ghana,W,,,,2,2,13,,,,0,0,2,,,,28,44,751,,,,0,0,0
Lazar Markovic,24,RSC Anderlecht,BEL - Jupiler Pro League,right,175,Serbia,W,31,49,34,21,28,2,7,7,3,2,4,0,2247,2863,1880,1196,1741,83,10,5,1,3,0,1
Alexandru Chipciu,28,RSC Anderlecht,BEL - Jupiler Pro League,right,176,Romania,W,42,29,45,39,48,20,8,7,8,9,6,0,3342,2106,3602,3256,3676,1254,10,6,18,3,13,1
Massimo Bruno,24,RSC Anderlecht,BEL - Jupiler Pro League,right,178,Belgium  Italy,W,44,42,39,27,40,20,8,16,8,2,6,2,2822,3000,1959,1475,1696,829,9,9,8,3,5,3
Lukasz Teodorczyk,26,RSC Anderlecht,BEL - Jupiler Pro League,right,185,Poland,CF,28,38,30,18,53,31,6,24,13,6,30,10,1833,2829,1302,637,3953,2200,11,9,2,0,5,4
Silvere Ganvoula,21,RSC Anderlecht,BEL - Jupiler Pro League,both,191,Congo,CF,1,3,4,18,26,19,0,1,0,5,9,3,68,268,232,1210,2201,864,0,0,0,1,2,1
Lior Refaelov,31,Club Brugge KV,BEL - Jupiler Pro League,both,175,Israel  Belgium,W,36,37,48,21,24,15,12,5,19,7,2,0,2480,2202,3670,1291,1250,490,10,14,18,5,3,3
Thibault Vlietinck,20,Club Brugge KV,BEL - Jupiler Pro League,right,178,Belgium,W,,,4,,8,4,,,1,,0,0,,,360,,498,238,,,0,,3,0
Emmanuel Dennis,20,Club Brugge KV,BEL - Jupiler Pro League,right,174,Nigeria,CF,,,,,26,31,,,,,6,12,,,,,1800,1462,,,,,1,4
Wesley,21,Club Brugge KV,BEL - Jupiler Pro League,right,191,Brazil,CF,,,,28,32,34,,,,10,6,9,,,,1877,1297,2103,,,,5,2,2
Abdoulay Diaby,26,Club Brugge KV,BEL - Jupiler Pro League,left,173,Mali  France,CF,28,20,25,47,20,34,7,4,12,20,0,12,2106,1157,1889,3114,927,1999,2,2,6,9,3,6
Jelle Vossen,28,Club Brugge KV,BEL - Jupiler Pro League,right,180,Belgium,CF,49,53,42,46,45,30,25,19,9,16,18,7,3976,4515,2324,2544,3096,1287,7,9,3,3,8,3
Krépin Diatta,19,Club Brugge KV,BEL - Jupiler Pro League,right,173,Senegal,CF,,,,,27,0,,,,,8,0,,,,,1744,0,,,,,8,0
Leandro Trossard,23,KRC Genk,BEL - Jupiler Pro League,right,172,Belgium,W,13,20,41,31,52,7,7,4,17,9,9,3,896,1353,3376,2130,2800,411,0,0,1,7,6,2
Holly Tshimanga,20,KRC Genk,BEL - Jupiler Pro League,,,Belgium  DR Congo,W,,,4,,2,,,,0,,0,,,,131,,11,,,,0,,0,
Dieumerci Ndongala,26,KRC Genk,BEL - Jupiler Pro League,right,170,DR Congo  Belgium,W,11,7,35,41,18,23,2,1,5,7,0,2,760,285,2507,3255,718,1195,0,4,5,2,3,1
Edon Zhegrova,18,KRC Genk,BEL - Jupiler Pro League,left,174,Kosovo  Albania,W,,,,,,14,,,,,,1,,,,,,708,,,,,,2
